name,nmol,charge,mass
[M-H]-,1,-1,-1.0072277
[M-OH]-,1,-1,17.0067177
[M+Na-2H]2-,1,-1,20.9754667
[M+CH3OH-H]-,1,-1,31.0189873
[M+Cl]-,1,-1,34.9694
[M+K-2H]-,1,-1,36.9487027
[M+ACN-H]-,1,-1,40.0193213
[M+FA-H]-,1,-1,44.9982523
[M+AcO]-,1,-1,59.013305
[M+NaO2CH-H]-,1,-1,66.9803493
[M+Br]-,1,-1,78.91889
[M+NaOAc-H]-,1,-1,80.9959993
[M+TFA-H]-,1,-1,112.9856363
[M+tributylamine-H]-,1,-1,184.2071213
[M-2H]2-,1,-2,-2.0144553
[M-3H]3-,1,-3,-3.021683
[M+Na-2H]-,1,-1,20.9754667
[M-H2O-H]-,1,-1,-20.0250203
[M+Br]-,1,-1,78.918336
[2M-H]-,2,-1,-1.0072277
[3M-H]-,3,-1,-1.0072277
[2M+FA-H]-,2,-1,44.9982523